Date,Australia,,Belgium,,Bulgaria,,Canada,,France,,Germany,,Greece,,Hong Kong,,Ireland,,Italy,,Japan,,Malaysia,,Mexico,,Netherlands,,New Zealand,,Portugal,,Singapore,,South Africa,,Spain,,Turkey,,UK,,US
11/23/1983,317.99,11/23/1983,NA,11/23/1983,NA,11/23/1983,NA,11/23/1983,NA,11/23/1983,NA,11/23/1983,NA,11/23/1983,NA,11/23/1983,NA,11/23/1983,NA,11/23/1983,NA,11/23/1983,NA,11/23/1983,NA,11/23/1983,108.78,11/23/1983,NA,11/23/1983,NA,11/23/1983,NA,11/23/1983,NA,11/23/1983,NA,11/23/1983,NA,11/23/1983,1184.29,11/23/1983,205.46
11/24/1983,315.46,11/24/1983,NA,11/24/1983,NA,11/24/1983,NA,11/24/1983,NA,11/24/1983,NA,11/24/1983,NA,11/24/1983,NA,11/24/1983,NA,11/24/1983,NA,11/24/1983,NA,11/24/1983,NA,11/24/1983,NA,11/24/1983,108.29,11/24/1983,NA,11/24/1983,NA,11/24/1983,NA,11/24/1983,NA,11/24/1983,NA,11/24/1983,NA,11/24/1983,1181.38,11/24/1983,205.46
11/25/1983,316.07,11/25/1983,NA,11/25/1983,NA,11/25/1983,NA,11/25/1983,NA,11/25/1983,NA,11/25/1983,NA,11/25/1983,NA,11/25/1983,NA,11/25/1983,NA,11/25/1983,NA,11/25/1983,NA,11/25/1983,NA,11/25/1983,108.13,11/25/1983,NA,11/25/1983,NA,11/25/1983,NA,11/25/1983,NA,11/25/1983,NA,11/25/1983,NA,11/25/1983,1189.26,11/25/1983,205.88
11/28/1983,313.9,11/28/1983,NA,11/28/1983,NA,11/28/1983,NA,11/28/1983,NA,11/28/1983,NA,11/28/1983,NA,11/28/1983,NA,11/28/1983,NA,11/28/1983,NA,11/28/1983,NA,11/28/1983,NA,11/28/1983,NA,11/28/1983,107.62,11/28/1983,NA,11/28/1983,NA,11/28/1983,NA,11/28/1983,NA,11/28/1983,NA,11/28/1983,NA,11/28/1983,1209.51,11/28/1983,207.25
11/29/1983,308.61,11/29/1983,NA,11/29/1983,NA,11/29/1983,NA,11/29/1983,NA,11/29/1983,NA,11/29/1983,NA,11/29/1983,NA,11/29/1983,NA,11/29/1983,NA,11/29/1983,NA,11/29/1983,NA,11/29/1983,NA,11/29/1983,106.81,11/29/1983,NA,11/29/1983,NA,11/29/1983,NA,11/29/1983,NA,11/29/1983,NA,11/29/1983,NA,11/29/1983,1204.48,11/29/1983,210.62
11/30/1983,309.73,11/30/1983,NA,11/30/1983,NA,11/30/1983,NA,11/30/1983,NA,11/30/1983,NA,11/30/1983,NA,11/30/1983,NA,11/30/1983,NA,11/30/1983,NA,11/30/1983,NA,11/30/1983,NA,11/30/1983,NA,11/30/1983,107.72,11/30/1983,NA,11/30/1983,NA,11/30/1983,NA,11/30/1983,NA,11/30/1983,NA,11/30/1983,NA,11/30/1983,1209.4,11/30/1983,211.42
12/1/1983,318.06,12/1/1983,NA,12/1/1983,NA,12/1/1983,NA,12/1/1983,NA,12/1/1983,NA,12/1/1983,NA,12/1/1983,NA,12/1/1983,NA,12/1/1983,NA,12/1/1983,NA,12/1/1983,NA,12/1/1983,NA,12/1/1983,107.17,12/1/1983,NA,12/1/1983,NA,12/1/1983,NA,12/1/1983,NA,12/1/1983,NA,12/1/1983,NA,12/1/1983,1206.43,12/1/1983,211.39
12/2/1983,318.66,12/2/1983,NA,12/2/1983,NA,12/2/1983,NA,12/2/1983,NA,12/2/1983,NA,12/2/1983,NA,12/2/1983,NA,12/2/1983,NA,12/2/1983,NA,12/2/1983,NA,12/2/1983,NA,12/2/1983,NA,12/2/1983,106.67,12/2/1983,NA,12/2/1983,NA,12/2/1983,NA,12/2/1983,NA,12/2/1983,NA,12/2/1983,NA,12/2/1983,1219.77,12/2/1983,212.1
12/5/1983,310.06,12/5/1983,NA,12/5/1983,NA,12/5/1983,NA,12/5/1983,NA,12/5/1983,NA,12/5/1983,NA,12/5/1983,NA,12/5/1983,NA,12/5/1983,NA,12/5/1983,NA,12/5/1983,NA,12/5/1983,NA,12/5/1983,105.45,12/5/1983,NA,12/5/1983,NA,12/5/1983,NA,12/5/1983,NA,12/5/1983,NA,12/5/1983,NA,12/5/1983,1221.46,12/5/1983,212.7
12/6/1983,312.53,12/6/1983,NA,12/6/1983,NA,12/6/1983,NA,12/6/1983,NA,12/6/1983,NA,12/6/1983,NA,12/6/1983,NA,12/6/1983,NA,12/6/1983,NA,12/6/1983,NA,12/6/1983,NA,12/6/1983,NA,12/6/1983,106.04,12/6/1983,NA,12/6/1983,NA,12/6/1983,NA,12/6/1983,NA,12/6/1983,NA,12/6/1983,NA,12/6/1983,1245.97,12/6/1983,209.45
12/7/1983,312.05,12/7/1983,NA,12/7/1983,NA,12/7/1983,NA,12/7/1983,NA,12/7/1983,NA,12/7/1983,NA,12/7/1983,NA,12/7/1983,NA,12/7/1983,NA,12/7/1983,NA,12/7/1983,NA,12/7/1983,NA,12/7/1983,106.3,12/7/1983,NA,12/7/1983,NA,12/7/1983,NA,12/7/1983,NA,12/7/1983,NA,12/7/1983,NA,12/7/1983,1229.9,12/7/1983,208.5
12/8/1983,313.67,12/8/1983,NA,12/8/1983,NA,12/8/1983,NA,12/8/1983,NA,12/8/1983,NA,12/8/1983,NA,12/8/1983,NA,12/8/1983,NA,12/8/1983,NA,12/8/1983,NA,12/8/1983,NA,12/8/1983,NA,12/8/1983,106.32,12/8/1983,NA,12/8/1983,NA,12/8/1983,NA,12/8/1983,NA,12/8/1983,NA,12/8/1983,NA,12/8/1983,1233.99,12/8/1983,208.99
12/9/1983,315.58,12/9/1983,NA,12/9/1983,NA,12/9/1983,NA,12/9/1983,NA,12/9/1983,NA,12/9/1983,NA,12/9/1983,NA,12/9/1983,NA,12/9/1983,NA,12/9/1983,NA,12/9/1983,NA,12/9/1983,NA,12/9/1983,106.49,12/9/1983,NA,12/9/1983,NA,12/9/1983,NA,12/9/1983,NA,12/9/1983,NA,12/9/1983,NA,12/9/1983,1222.29,12/9/1983,206.16
12/12/1983,316.8,12/12/1983,NA,12/12/1983,NA,12/12/1983,NA,12/12/1983,NA,12/12/1983,NA,12/12/1983,NA,12/12/1983,NA,12/12/1983,NA,12/12/1983,NA,12/12/1983,NA,12/12/1983,NA,12/12/1983,NA,12/12/1983,105.39,12/12/1983,NA,12/12/1983,NA,12/12/1983,NA,12/12/1983,NA,12/12/1983,NA,12/12/1983,NA,12/12/1983,1208.23,12/12/1983,204.07
12/13/1983,321.65,12/13/1983,NA,12/13/1983,NA,12/13/1983,NA,12/13/1983,NA,12/13/1983,NA,12/13/1983,NA,12/13/1983,NA,12/13/1983,NA,12/13/1983,NA,12/13/1983,NA,12/13/1983,NA,12/13/1983,NA,12/13/1983,104.38,12/13/1983,NA,12/13/1983,NA,12/13/1983,NA,12/13/1983,NA,12/13/1983,NA,12/13/1983,NA,12/13/1983,1209.55,12/13/1983,204.83
12/14/1983,317.11,12/14/1983,NA,12/14/1983,NA,12/14/1983,NA,12/14/1983,NA,12/14/1983,NA,12/14/1983,NA,12/14/1983,NA,12/14/1983,NA,12/14/1983,NA,12/14/1983,NA,12/14/1983,NA,12/14/1983,NA,12/14/1983,104.08,12/14/1983,NA,12/14/1983,NA,12/14/1983,NA,12/14/1983,NA,12/14/1983,NA,12/14/1983,NA,12/14/1983,1216.92,12/14/1983,203.81
12/15/1983,324.39,12/15/1983,NA,12/15/1983,NA,12/15/1983,NA,12/15/1983,NA,12/15/1983,NA,12/15/1983,NA,12/15/1983,NA,12/15/1983,NA,12/15/1983,NA,12/15/1983,NA,12/15/1983,NA,12/15/1983,NA,12/15/1983,103.96,12/15/1983,NA,12/15/1983,NA,12/15/1983,NA,12/15/1983,NA,12/15/1983,NA,12/15/1983,NA,12/15/1983,1217.6,12/15/1983,201.89
12/16/1983,321.34,12/16/1983,NA,12/16/1983,NA,12/16/1983,NA,12/16/1983,NA,12/16/1983,NA,12/16/1983,NA,12/16/1983,NA,12/16/1983,NA,12/16/1983,NA,12/16/1983,NA,12/16/1983,NA,12/16/1983,NA,12/16/1983,104.32,12/16/1983,NA,12/16/1983,NA,12/16/1983,NA,12/16/1983,NA,12/16/1983,NA,12/16/1983,NA,12/16/1983,1186.9,12/16/1983,200.81
12/19/1983,314.62,12/19/1983,NA,12/19/1983,NA,12/19/1983,NA,12/19/1983,NA,12/19/1983,NA,12/19/1983,NA,12/19/1983,NA,12/19/1983,NA,12/19/1983,NA,12/19/1983,NA,12/19/1983,NA,12/19/1983,NA,12/19/1983,104.41,12/19/1983,NA,12/19/1983,NA,12/19/1983,NA,12/19/1983,NA,12/19/1983,NA,12/19/1983,NA,12/19/1983,1198.86,12/19/1983,201.42
12/20/1983,312.48,12/20/1983,NA,12/20/1983,NA,12/20/1983,NA,12/20/1983,NA,12/20/1983,NA,12/20/1983,NA,12/20/1983,NA,12/20/1983,NA,12/20/1983,NA,12/20/1983,NA,12/20/1983,NA,12/20/1983,NA,12/20/1983,104.28,12/20/1983,NA,12/20/1983,NA,12/20/1983,NA,12/20/1983,NA,12/20/1983,NA,12/20/1983,NA,12/20/1983,1201.67,12/20/1983,198.3
12/21/1983,315.41,12/21/1983,NA,12/21/1983,NA,12/21/1983,NA,12/21/1983,NA,12/21/1983,NA,12/21/1983,NA,12/21/1983,NA,12/21/1983,NA,12/21/1983,NA,12/21/1983,NA,12/21/1983,NA,12/21/1983,NA,12/21/1983,104.07,12/21/1983,NA,12/21/1983,NA,12/21/1983,NA,12/21/1983,NA,12/21/1983,NA,12/21/1983,NA,12/21/1983,1232.83,12/21/1983,201.22
12/22/1983,324.93,12/22/1983,NA,12/22/1983,NA,12/22/1983,NA,12/22/1983,NA,12/22/1983,NA,12/22/1983,NA,12/22/1983,NA,12/22/1983,NA,12/22/1983,NA,12/22/1983,NA,12/22/1983,NA,12/22/1983,NA,12/22/1983,104.25,12/22/1983,NA,12/22/1983,NA,12/22/1983,NA,12/22/1983,NA,12/22/1983,NA,12/22/1983,NA,12/22/1983,1249.13,12/22/1983,200.48
12/23/1983,324.19,12/23/1983,NA,12/23/1983,NA,12/23/1983,NA,12/23/1983,NA,12/23/1983,NA,12/23/1983,NA,12/23/1983,NA,12/23/1983,NA,12/23/1983,NA,12/23/1983,NA,12/23/1983,NA,12/23/1983,NA,12/23/1983,104.54,12/23/1983,NA,12/23/1983,NA,12/23/1983,NA,12/23/1983,NA,12/23/1983,NA,12/23/1983,NA,12/23/1983,1252.42,12/23/1983,199.21
12/26/1983,324.19,12/26/1983,NA,12/26/1983,NA,12/26/1983,NA,12/26/1983,NA,12/26/1983,NA,12/26/1983,NA,12/26/1983,NA,12/26/1983,NA,12/26/1983,NA,12/26/1983,NA,12/26/1983,NA,12/26/1983,NA,12/26/1983,104.54,12/26/1983,NA,12/26/1983,NA,12/26/1983,NA,12/26/1983,NA,12/26/1983,NA,12/26/1983,NA,12/26/1983,1252.42,12/26/1983,199.21
12/27/1983,324.19,12/27/1983,NA,12/27/1983,NA,12/27/1983,NA,12/27/1983,NA,12/27/1983,NA,12/27/1983,NA,12/27/1983,NA,12/27/1983,NA,12/27/1983,NA,12/27/1983,NA,12/27/1983,NA,12/27/1983,NA,12/27/1983,104.54,12/27/1983,NA,12/27/1983,NA,12/27/1983,NA,12/27/1983,NA,12/27/1983,NA,12/27/1983,NA,12/27/1983,1252.42,12/27/1983,199.01
12/28/1983,324.65,12/28/1983,NA,12/28/1983,NA,12/28/1983,NA,12/28/1983,NA,12/28/1983,NA,12/28/1983,NA,12/28/1983,NA,12/28/1983,NA,12/28/1983,NA,12/28/1983,NA,12/28/1983,NA,12/28/1983,NA,12/28/1983,104.8,12/28/1983,NA,12/28/1983,NA,12/28/1983,NA,12/28/1983,NA,12/28/1983,NA,12/28/1983,NA,12/28/1983,1264.36,12/28/1983,198.06
12/29/1983,323.65,12/29/1983,NA,12/29/1983,NA,12/29/1983,NA,12/29/1983,NA,12/29/1983,NA,12/29/1983,NA,12/29/1983,NA,12/29/1983,NA,12/29/1983,NA,12/29/1983,NA,12/29/1983,NA,12/29/1983,NA,12/29/1983,108.41,12/29/1983,NA,12/29/1983,NA,12/29/1983,NA,12/29/1983,NA,12/29/1983,NA,12/29/1983,NA,12/29/1983,1274.06,12/29/1983,198.21
12/30/1983,325.53,12/30/1983,NA,12/30/1983,NA,12/30/1983,NA,12/30/1983,NA,12/30/1983,NA,12/30/1983,NA,12/30/1983,NA,12/30/1983,NA,12/30/1983,NA,12/30/1983,NA,12/30/1983,NA,12/30/1983,NA,12/30/1983,108.69,12/30/1983,NA,12/30/1983,NA,12/30/1983,NA,12/30/1983,NA,12/30/1983,NA,12/30/1983,NA,12/30/1983,1275.55,12/30/1983,199.68
1/2/1984,325.53,1/2/1984,NA,1/2/1984,NA,1/2/1984,NA,1/2/1984,NA,1/2/1984,NA,1/2/1984,NA,1/2/1984,NA,1/2/1984,NA,1/2/1984,NA,1/2/1984,NA,1/2/1984,NA,1/2/1984,NA,1/2/1984,108.69,1/2/1984,NA,1/2/1984,NA,1/2/1984,NA,1/2/1984,NA,1/2/1984,NA,1/2/1984,NA,1/2/1984,1275.55,1/2/1984,199.68
1/3/1984,326.8,1/3/1984,NA,1/3/1984,NA,1/3/1984,NA,1/3/1984,NA,1/3/1984,NA,1/3/1984,NA,1/3/1984,NA,1/3/1984,NA,1/3/1984,NA,1/3/1984,NA,1/3/1984,NA,1/3/1984,NA,1/3/1984,106.76,1/3/1984,NA,1/3/1984,NA,1/3/1984,NA,1/3/1984,NA,1/3/1984,NA,1/3/1984,NA,1/3/1984,1258.3,1/3/1984,199.16
1/4/1984,329.22,1/4/1984,NA,1/4/1984,NA,1/4/1984,NA,1/4/1984,NA,1/4/1984,NA,1/4/1984,NA,1/4/1984,NA,1/4/1984,NA,1/4/1984,NA,1/4/1984,NA,1/4/1984,NA,1/4/1984,NA,1/4/1984,105.77,1/4/1984,NA,1/4/1984,NA,1/4/1984,NA,1/4/1984,NA,1/4/1984,NA,1/4/1984,NA,1/4/1984,1275.31,1/4/1984,200.31
1/5/1984,334,1/5/1984,NA,1/5/1984,NA,1/5/1984,NA,1/5/1984,NA,1/5/1984,NA,1/5/1984,NA,1/5/1984,NA,1/5/1984,NA,1/5/1984,NA,1/5/1984,NA,1/5/1984,NA,1/5/1984,NA,1/5/1984,105.33,1/5/1984,NA,1/5/1984,NA,1/5/1984,NA,1/5/1984,NA,1/5/1984,NA,1/5/1984,NA,1/5/1984,1301.02,1/5/1984,203.63
1/6/1984,337.65,1/6/1984,NA,1/6/1984,NA,1/6/1984,NA,1/6/1984,NA,1/6/1984,NA,1/6/1984,NA,1/6/1984,NA,1/6/1984,NA,1/6/1984,NA,1/6/1984,NA,1/6/1984,NA,1/6/1984,NA,1/6/1984,104.92,1/6/1984,NA,1/6/1984,NA,1/6/1984,NA,1/6/1984,NA,1/6/1984,NA,1/6/1984,NA,1/6/1984,1299.49,1/6/1984,207.82
1/9/1984,345.39,1/9/1984,NA,1/9/1984,NA,1/9/1984,NA,1/9/1984,NA,1/9/1984,NA,1/9/1984,NA,1/9/1984,NA,1/9/1984,NA,1/9/1984,NA,1/9/1984,NA,1/9/1984,NA,1/9/1984,NA,1/9/1984,105.03,1/9/1984,NA,1/9/1984,NA,1/9/1984,NA,1/9/1984,NA,1/9/1984,NA,1/9/1984,NA,1/9/1984,1291.37,1/9/1984,207.07
1/10/1984,333.73,1/10/1984,NA,1/10/1984,NA,1/10/1984,NA,1/10/1984,NA,1/10/1984,NA,1/10/1984,NA,1/10/1984,NA,1/10/1984,NA,1/10/1984,NA,1/10/1984,NA,1/10/1984,NA,1/10/1984,NA,1/10/1984,104.63,1/10/1984,NA,1/10/1984,NA,1/10/1984,NA,1/10/1984,NA,1/10/1984,NA,1/10/1984,NA,1/10/1984,1254.31,1/10/1984,208.79
1/11/1984,334.18,1/11/1984,NA,1/11/1984,NA,1/11/1984,NA,1/11/1984,NA,1/11/1984,NA,1/11/1984,NA,1/11/1984,NA,1/11/1984,NA,1/11/1984,NA,1/11/1984,NA,1/11/1984,NA,1/11/1984,NA,1/11/1984,102.98,1/11/1984,NA,1/11/1984,NA,1/11/1984,NA,1/11/1984,NA,1/11/1984,NA,1/11/1984,NA,1/11/1984,1231.56,1/11/1984,210.4
1/12/1984,334.57,1/12/1984,NA,1/12/1984,NA,1/12/1984,NA,1/12/1984,NA,1/12/1984,NA,1/12/1984,NA,1/12/1984,NA,1/12/1984,NA,1/12/1984,NA,1/12/1984,NA,1/12/1984,NA,1/12/1984,NA,1/12/1984,103.05,1/12/1984,NA,1/12/1984,NA,1/12/1984,NA,1/12/1984,NA,1/12/1984,NA,1/12/1984,NA,1/12/1984,1244.14,1/12/1984,208.98
1/13/1984,332.64,1/13/1984,NA,1/13/1984,NA,1/13/1984,NA,1/13/1984,NA,1/13/1984,NA,1/13/1984,NA,1/13/1984,NA,1/13/1984,NA,1/13/1984,NA,1/13/1984,NA,1/13/1984,NA,1/13/1984,NA,1/13/1984,103.84,1/13/1984,NA,1/13/1984,NA,1/13/1984,NA,1/13/1984,NA,1/13/1984,NA,1/13/1984,NA,1/13/1984,1261.67,1/13/1984,209.19
1/16/1984,335.29,1/16/1984,NA,1/16/1984,NA,1/16/1984,NA,1/16/1984,NA,1/16/1984,NA,1/16/1984,NA,1/16/1984,NA,1/16/1984,NA,1/16/1984,NA,1/16/1984,NA,1/16/1984,NA,1/16/1984,NA,1/16/1984,105.09,1/16/1984,NA,1/16/1984,NA,1/16/1984,NA,1/16/1984,NA,1/16/1984,NA,1/16/1984,NA,1/16/1984,1266.06,1/16/1984,206.67
1/17/1984,330.36,1/17/1984,NA,1/17/1984,NA,1/17/1984,NA,1/17/1984,NA,1/17/1984,NA,1/17/1984,NA,1/17/1984,NA,1/17/1984,NA,1/17/1984,NA,1/17/1984,NA,1/17/1984,NA,1/17/1984,NA,1/17/1984,106.11,1/17/1984,NA,1/17/1984,NA,1/17/1984,NA,1/17/1984,NA,1/17/1984,NA,1/17/1984,NA,1/17/1984,1255.63,1/17/1984,208.59
1/18/1984,334.22,1/18/1984,NA,1/18/1984,NA,1/18/1984,NA,1/18/1984,NA,1/18/1984,NA,1/18/1984,NA,1/18/1984,NA,1/18/1984,NA,1/18/1984,NA,1/18/1984,NA,1/18/1984,NA,1/18/1984,NA,1/18/1984,105.35,1/18/1984,NA,1/18/1984,NA,1/18/1984,NA,1/18/1984,NA,1/18/1984,NA,1/18/1984,NA,1/18/1984,1271.74,1/18/1984,207.83
1/19/1984,337.17,1/19/1984,NA,1/19/1984,NA,1/19/1984,NA,1/19/1984,NA,1/19/1984,NA,1/19/1984,NA,1/19/1984,NA,1/19/1984,NA,1/19/1984,NA,1/19/1984,NA,1/19/1984,NA,1/19/1984,NA,1/19/1984,106.24,1/19/1984,NA,1/19/1984,NA,1/19/1984,NA,1/19/1984,NA,1/19/1984,NA,1/19/1984,NA,1/19/1984,1267,1/19/1984,206.86
1/20/1984,339.64,1/20/1984,NA,1/20/1984,NA,1/20/1984,NA,1/20/1984,NA,1/20/1984,NA,1/20/1984,NA,1/20/1984,NA,1/20/1984,NA,1/20/1984,NA,1/20/1984,NA,1/20/1984,NA,1/20/1984,NA,1/20/1984,105.29,1/20/1984,NA,1/20/1984,NA,1/20/1984,NA,1/20/1984,NA,1/20/1984,NA,1/20/1984,NA,1/20/1984,1234.13,1/20/1984,206.57
1/23/1984,348.15,1/23/1984,NA,1/23/1984,NA,1/23/1984,NA,1/23/1984,NA,1/23/1984,NA,1/23/1984,NA,1/23/1984,NA,1/23/1984,NA,1/23/1984,NA,1/23/1984,NA,1/23/1984,NA,1/23/1984,NA,1/23/1984,105.54,1/23/1984,NA,1/23/1984,NA,1/23/1984,NA,1/23/1984,NA,1/23/1984,NA,1/23/1984,NA,1/23/1984,1224.8,1/23/1984,203.32
1/24/1984,344.22,1/24/1984,NA,1/24/1984,NA,1/24/1984,NA,1/24/1984,NA,1/24/1984,NA,1/24/1984,NA,1/24/1984,NA,1/24/1984,NA,1/24/1984,NA,1/24/1984,NA,1/24/1984,NA,1/24/1984,NA,1/24/1984,105.22,1/24/1984,NA,1/24/1984,NA,1/24/1984,NA,1/24/1984,NA,1/24/1984,NA,1/24/1984,NA,1/24/1984,1229.88,1/24/1984,201.39
1/25/1984,344.99,1/25/1984,NA,1/25/1984,NA,1/25/1984,NA,1/25/1984,NA,1/25/1984,NA,1/25/1984,NA,1/25/1984,NA,1/25/1984,NA,1/25/1984,NA,1/25/1984,NA,1/25/1984,NA,1/25/1984,NA,1/25/1984,105.13,1/25/1984,NA,1/25/1984,NA,1/25/1984,NA,1/25/1984,NA,1/25/1984,NA,1/25/1984,NA,1/25/1984,1258.17,1/25/1984,196.28
1/26/1984,343.3,1/26/1984,NA,1/26/1984,NA,1/26/1984,NA,1/26/1984,NA,1/26/1984,NA,1/26/1984,NA,1/26/1984,NA,1/26/1984,NA,1/26/1984,NA,1/26/1984,NA,1/26/1984,NA,1/26/1984,NA,1/26/1984,105.58,1/26/1984,NA,1/26/1984,NA,1/26/1984,NA,1/26/1984,NA,1/26/1984,NA,1/26/1984,NA,1/26/1984,1255.73,1/26/1984,197.45
1/27/1984,337.97,1/27/1984,NA,1/27/1984,NA,1/27/1984,NA,1/27/1984,NA,1/27/1984,NA,1/27/1984,NA,1/27/1984,NA,1/27/1984,NA,1/27/1984,NA,1/27/1984,NA,1/27/1984,NA,1/27/1984,NA,1/27/1984,103.06,1/27/1984,NA,1/27/1984,NA,1/27/1984,NA,1/27/1984,NA,1/27/1984,NA,1/27/1984,NA,1/27/1984,1241.41,1/27/1984,195.36
1/30/1984,338.39,1/30/1984,NA,1/30/1984,NA,1/30/1984,NA,1/30/1984,NA,1/30/1984,NA,1/30/1984,NA,1/30/1984,NA,1/30/1984,NA,1/30/1984,NA,1/30/1984,NA,1/30/1984,NA,1/30/1984,NA,1/30/1984,103.79,1/30/1984,NA,1/30/1984,NA,1/30/1984,NA,1/30/1984,NA,1/30/1984,NA,1/30/1984,NA,1/30/1984,1276.1,1/30/1984,188.83
1/31/1984,336,1/31/1984,NA,1/31/1984,NA,1/31/1984,NA,1/31/1984,NA,1/31/1984,NA,1/31/1984,NA,1/31/1984,NA,1/31/1984,NA,1/31/1984,NA,1/31/1984,NA,1/31/1984,NA,1/31/1984,NA,1/31/1984,104.49,1/31/1984,NA,1/31/1984,NA,1/31/1984,NA,1/31/1984,NA,1/31/1984,NA,1/31/1984,NA,1/31/1984,1261.89,1/31/1984,187.02
2/1/1984,335.91,2/1/1984,NA,2/1/1984,NA,2/1/1984,NA,2/1/1984,NA,2/1/1984,NA,2/1/1984,NA,2/1/1984,NA,2/1/1984,NA,2/1/1984,NA,2/1/1984,NA,2/1/1984,NA,2/1/1984,NA,2/1/1984,105.86,2/1/1984,NA,2/1/1984,NA,2/1/1984,NA,2/1/1984,NA,2/1/1984,NA,2/1/1984,NA,2/1/1984,1241.17,2/1/1984,187.52
2/2/1984,334.71,2/2/1984,NA,2/2/1984,NA,2/2/1984,NA,2/2/1984,NA,2/2/1984,NA,2/2/1984,NA,2/2/1984,NA,2/2/1984,NA,2/2/1984,NA,2/2/1984,NA,2/2/1984,NA,2/2/1984,NA,2/2/1984,106.88,2/2/1984,NA,2/2/1984,NA,2/2/1984,NA,2/2/1984,NA,2/2/1984,NA,2/2/1984,NA,2/2/1984,1242.9,2/2/1984,188.5
2/3/1984,332.25,2/3/1984,NA,2/3/1984,NA,2/3/1984,NA,2/3/1984,NA,2/3/1984,NA,2/3/1984,NA,2/3/1984,NA,2/3/1984,NA,2/3/1984,NA,2/3/1984,NA,2/3/1984,NA,2/3/1984,NA,2/3/1984,108.1,2/3/1984,NA,2/3/1984,NA,2/3/1984,NA,2/3/1984,NA,2/3/1984,NA,2/3/1984,NA,2/3/1984,1247.62,2/3/1984,186.75
2/6/1984,333.58,2/6/1984,NA,2/6/1984,NA,2/6/1984,NA,2/6/1984,NA,2/6/1984,NA,2/6/1984,NA,2/6/1984,NA,2/6/1984,NA,2/6/1984,NA,2/6/1984,NA,2/6/1984,NA,2/6/1984,NA,2/6/1984,108.06,2/6/1984,NA,2/6/1984,NA,2/6/1984,NA,2/6/1984,NA,2/6/1984,NA,2/6/1984,NA,2/6/1984,1227.52,2/6/1984,187
2/7/1984,332.19,2/7/1984,NA,2/7/1984,NA,2/7/1984,NA,2/7/1984,NA,2/7/1984,NA,2/7/1984,NA,2/7/1984,NA,2/7/1984,NA,2/7/1984,NA,2/7/1984,NA,2/7/1984,NA,2/7/1984,NA,2/7/1984,106.51,2/7/1984,NA,2/7/1984,NA,2/7/1984,NA,2/7/1984,NA,2/7/1984,NA,2/7/1984,NA,2/7/1984,1183.78,2/7/1984,187.89
2/8/1984,334.45,2/8/1984,NA,2/8/1984,NA,2/8/1984,NA,2/8/1984,NA,2/8/1984,NA,2/8/1984,NA,2/8/1984,NA,2/8/1984,NA,2/8/1984,NA,2/8/1984,NA,2/8/1984,NA,2/8/1984,NA,2/8/1984,106.68,2/8/1984,NA,2/8/1984,NA,2/8/1984,NA,2/8/1984,NA,2/8/1984,NA,2/8/1984,NA,2/8/1984,1191.32,2/8/1984,184.89
2/9/1984,329,2/9/1984,NA,2/9/1984,NA,2/9/1984,NA,2/9/1984,NA,2/9/1984,NA,2/9/1984,NA,2/9/1984,NA,2/9/1984,NA,2/9/1984,NA,2/9/1984,NA,2/9/1984,NA,2/9/1984,NA,2/9/1984,107.89,2/9/1984,NA,2/9/1984,NA,2/9/1984,NA,2/9/1984,NA,2/9/1984,NA,2/9/1984,NA,2/9/1984,1192.74,2/9/1984,182.43
2/10/1984,327.62,2/10/1984,NA,2/10/1984,NA,2/10/1984,NA,2/10/1984,NA,2/10/1984,NA,2/10/1984,NA,2/10/1984,NA,2/10/1984,NA,2/10/1984,NA,2/10/1984,NA,2/10/1984,NA,2/10/1984,NA,2/10/1984,107.64,2/10/1984,NA,2/10/1984,NA,2/10/1984,NA,2/10/1984,NA,2/10/1984,NA,2/10/1984,NA,2/10/1984,1177.76,2/10/1984,182.93
2/13/1984,318.68,2/13/1984,NA,2/13/1984,NA,2/13/1984,NA,2/13/1984,NA,2/13/1984,NA,2/13/1984,NA,2/13/1984,NA,2/13/1984,NA,2/13/1984,NA,2/13/1984,NA,2/13/1984,NA,2/13/1984,NA,2/13/1984,107.54,2/13/1984,NA,2/13/1984,NA,2/13/1984,NA,2/13/1984,NA,2/13/1984,NA,2/13/1984,NA,2/13/1984,1198.37,2/13/1984,182.53
2/14/1984,320.93,2/14/1984,NA,2/14/1984,NA,2/14/1984,NA,2/14/1984,NA,2/14/1984,NA,2/14/1984,NA,2/14/1984,NA,2/14/1984,NA,2/14/1984,NA,2/14/1984,NA,2/14/1984,NA,2/14/1984,NA,2/14/1984,107.71,2/14/1984,NA,2/14/1984,NA,2/14/1984,NA,2/14/1984,NA,2/14/1984,NA,2/14/1984,NA,2/14/1984,1223.41,2/14/1984,182.7
2/15/1984,313.01,2/15/1984,NA,2/15/1984,NA,2/15/1984,NA,2/15/1984,NA,2/15/1984,NA,2/15/1984,NA,2/15/1984,NA,2/15/1984,NA,2/15/1984,NA,2/15/1984,NA,2/15/1984,NA,2/15/1984,NA,2/15/1984,109.97,2/15/1984,NA,2/15/1984,NA,2/15/1984,NA,2/15/1984,NA,2/15/1984,NA,2/15/1984,NA,2/15/1984,1261.38,2/15/1984,181.72
