Date,Australia,,Belgium,,Bulgaria,,Canada,,France,,Germany,,Greece,,Hong Kong,,Ireland,,Italy,,Japan,,Malaysia,,Mexico,,Netherlands,,New Zealand,,Portugal,,Singapore,,South Africa,,Spain,,Turkey,,UK,,US
1/18/1973,125.71,1/18/1973,NA,1/18/1973,NA,1/18/1973,NA,1/18/1973,NA,1/18/1973,NA,1/18/1973,NA,1/18/1973,NA,1/18/1973,NA,1/18/1973,NA,1/18/1973,NA,1/18/1973,NA,1/18/1973,NA,1/18/1973,75.23,1/18/1973,NA,1/18/1973,NA,1/18/1973,NA,1/18/1973,NA,1/18/1973,NA,1/18/1973,NA,1/18/1973,916.64,1/18/1973,105.97
1/19/1973,125.62,1/19/1973,NA,1/19/1973,NA,1/19/1973,NA,1/19/1973,NA,1/19/1973,NA,1/19/1973,NA,1/19/1973,NA,1/19/1973,NA,1/19/1973,NA,1/19/1973,NA,1/19/1973,NA,1/19/1973,NA,1/19/1973,76.77,1/19/1973,NA,1/19/1973,NA,1/19/1973,NA,1/19/1973,NA,1/19/1973,NA,1/19/1973,NA,1/19/1973,896.26,1/19/1973,106.61
1/22/1973,125.74,1/22/1973,NA,1/22/1973,NA,1/22/1973,NA,1/22/1973,NA,1/22/1973,NA,1/22/1973,NA,1/22/1973,NA,1/22/1973,NA,1/22/1973,NA,1/22/1973,NA,1/22/1973,NA,1/22/1973,NA,1/22/1973,77.88,1/22/1973,NA,1/22/1973,NA,1/22/1973,NA,1/22/1973,NA,1/22/1973,NA,1/22/1973,NA,1/22/1973,833.44,1/22/1973,107.21
1/23/1973,125.77,1/23/1973,NA,1/23/1973,NA,1/23/1973,NA,1/23/1973,NA,1/23/1973,NA,1/23/1973,NA,1/23/1973,NA,1/23/1973,NA,1/23/1973,NA,1/23/1973,NA,1/23/1973,NA,1/23/1973,NA,1/23/1973,76.89,1/23/1973,NA,1/23/1973,NA,1/23/1973,NA,1/23/1973,NA,1/23/1973,NA,1/23/1973,NA,1/23/1973,811.57,1/23/1973,108.45
1/24/1973,125.7,1/24/1973,NA,1/24/1973,NA,1/24/1973,NA,1/24/1973,NA,1/24/1973,NA,1/24/1973,NA,1/24/1973,NA,1/24/1973,NA,1/24/1973,NA,1/24/1973,NA,1/24/1973,NA,1/24/1973,NA,1/24/1973,77.23,1/24/1973,NA,1/24/1973,NA,1/24/1973,NA,1/24/1973,NA,1/24/1973,NA,1/24/1973,NA,1/24/1973,819.35,1/24/1973,106.63
1/25/1973,128.33,1/25/1973,NA,1/25/1973,NA,1/25/1973,NA,1/25/1973,NA,1/25/1973,NA,1/25/1973,NA,1/25/1973,NA,1/25/1973,NA,1/25/1973,NA,1/25/1973,NA,1/25/1973,NA,1/25/1973,NA,1/25/1973,77.28,1/25/1973,NA,1/25/1973,NA,1/25/1973,NA,1/25/1973,NA,1/25/1973,NA,1/25/1973,NA,1/25/1973,801.91,1/25/1973,106.63
1/26/1973,125.74,1/26/1973,NA,1/26/1973,NA,1/26/1973,NA,1/26/1973,NA,1/26/1973,NA,1/26/1973,NA,1/26/1973,NA,1/26/1973,NA,1/26/1973,NA,1/26/1973,NA,1/26/1973,NA,1/26/1973,NA,1/26/1973,75.52,1/26/1973,NA,1/26/1973,NA,1/26/1973,NA,1/26/1973,NA,1/26/1973,NA,1/26/1973,NA,1/26/1973,788.17,1/26/1973,107.77
1/29/1973,125.73,1/29/1973,NA,1/29/1973,NA,1/29/1973,NA,1/29/1973,NA,1/29/1973,NA,1/29/1973,NA,1/29/1973,NA,1/29/1973,NA,1/29/1973,NA,1/29/1973,NA,1/29/1973,NA,1/29/1973,NA,1/29/1973,73.72,1/29/1973,NA,1/29/1973,NA,1/29/1973,NA,1/29/1973,NA,1/29/1973,NA,1/29/1973,NA,1/29/1973,771.83,1/29/1973,105.58
1/30/1973,130.29,1/30/1973,NA,1/30/1973,NA,1/30/1973,NA,1/30/1973,NA,1/30/1973,NA,1/30/1973,NA,1/30/1973,NA,1/30/1973,NA,1/30/1973,NA,1/30/1973,NA,1/30/1973,NA,1/30/1973,NA,1/30/1973,75.15,1/30/1973,NA,1/30/1973,NA,1/30/1973,NA,1/30/1973,NA,1/30/1973,NA,1/30/1973,NA,1/30/1973,776.07,1/30/1973,104.27
1/31/1973,133.17,1/31/1973,NA,1/31/1973,NA,1/31/1973,NA,1/31/1973,NA,1/31/1973,NA,1/31/1973,NA,1/31/1973,NA,1/31/1973,NA,1/31/1973,NA,1/31/1973,NA,1/31/1973,NA,1/31/1973,NA,1/31/1973,75.89,1/31/1973,NA,1/31/1973,NA,1/31/1973,NA,1/31/1973,NA,1/31/1973,NA,1/31/1973,NA,1/31/1973,791.45,1/31/1973,105.36
2/1/1973,133.06,2/1/1973,NA,2/1/1973,NA,2/1/1973,NA,2/1/1973,NA,2/1/1973,NA,2/1/1973,NA,2/1/1973,NA,2/1/1973,NA,2/1/1973,NA,2/1/1973,NA,2/1/1973,NA,2/1/1973,NA,2/1/1973,76.18,2/1/1973,NA,2/1/1973,NA,2/1/1973,NA,2/1/1973,NA,2/1/1973,NA,2/1/1973,NA,2/1/1973,801.36,2/1/1973,105
2/2/1973,135.05,2/2/1973,NA,2/2/1973,NA,2/2/1973,NA,2/2/1973,NA,2/2/1973,NA,2/2/1973,NA,2/2/1973,NA,2/2/1973,NA,2/2/1973,NA,2/2/1973,NA,2/2/1973,NA,2/2/1973,NA,2/2/1973,76.87,2/2/1973,NA,2/2/1973,NA,2/2/1973,NA,2/2/1973,NA,2/2/1973,NA,2/2/1973,NA,2/2/1973,798.04,2/2/1973,105.06
2/5/1973,142.57,2/5/1973,NA,2/5/1973,NA,2/5/1973,NA,2/5/1973,NA,2/5/1973,NA,2/5/1973,NA,2/5/1973,NA,2/5/1973,NA,2/5/1973,NA,2/5/1973,NA,2/5/1973,NA,2/5/1973,NA,2/5/1973,76.43,2/5/1973,NA,2/5/1973,NA,2/5/1973,NA,2/5/1973,NA,2/5/1973,NA,2/5/1973,NA,2/5/1973,802.14,2/5/1973,104.95
2/6/1973,144.39,2/6/1973,NA,2/6/1973,NA,2/6/1973,NA,2/6/1973,NA,2/6/1973,NA,2/6/1973,NA,2/6/1973,NA,2/6/1973,NA,2/6/1973,NA,2/6/1973,NA,2/6/1973,NA,2/6/1973,NA,2/6/1973,76.62,2/6/1973,NA,2/6/1973,NA,2/6/1973,NA,2/6/1973,NA,2/6/1973,NA,2/6/1973,NA,2/6/1973,790.92,2/6/1973,104.95
2/7/1973,139.55,2/7/1973,NA,2/7/1973,NA,2/7/1973,NA,2/7/1973,NA,2/7/1973,NA,2/7/1973,NA,2/7/1973,NA,2/7/1973,NA,2/7/1973,NA,2/7/1973,NA,2/7/1973,NA,2/7/1973,NA,2/7/1973,78.61,2/7/1973,NA,2/7/1973,NA,2/7/1973,NA,2/7/1973,NA,2/7/1973,NA,2/7/1973,NA,2/7/1973,757.67,2/7/1973,102.92
2/8/1973,133.12,2/8/1973,NA,2/8/1973,NA,2/8/1973,NA,2/8/1973,NA,2/8/1973,NA,2/8/1973,NA,2/8/1973,NA,2/8/1973,NA,2/8/1973,NA,2/8/1973,NA,2/8/1973,NA,2/8/1973,NA,2/8/1973,86.44,2/8/1973,NA,2/8/1973,NA,2/8/1973,NA,2/8/1973,NA,2/8/1973,NA,2/8/1973,NA,2/8/1973,741.81,2/8/1973,100.96
