yearmo,SENT
199511,0.18
199512,0.22
199601,0.28
199602,0.29
199603,0.35
199604,0.27
199605,0.33
199606,0.55
199607,0.64
199608,0.77
199609,0.76
199610,0.75
199611,0.74
199612,0.81
199701,0.81
199702,0.87
199703,0.83
199704,1.01
199705,0.87
199706,0.78
199707,0.57
199708,0.69
199709,0.82
199710,0.62
199711,0.66
199712,0.69
199801,0.65
199802,0.46
199803,0.39
199804,0.08
199805,0.20
199806,0.16
199807,0.30
199808,0.37
199809,0.31
199810,0.20
199811,0.01
199812,-0.19
199901,-0.18
199902,-0.05
199903,-0.07
199904,-0.17
199905,-0.20
199906,-0.07
199907,-0.14
199908,-0.32
199909,-0.11
199910,-0.20
199911,-0.05
199912,0.22
200001,0.58
200002,0.53
200003,0.90
200004,0.43
200005,0.72
200006,0.92
200007,1.19
200008,1.19
200009,1.28
200010,1.33
200011,1.80
200012,2.06
200101,2.28
200102,2.94
200103,2.72
200104,2.35
200105,2.19
200106,2.58
200107,2.45
200108,2.49
200109,2.34
200110,2.10
200111,1.39
200112,1.11
200201,1.35
200202,0.67
200203,0.36
200204,0.46
200205,0.41
200206,0.44
200207,0.00
200208,-0.12
200209,-0.60
200210,-0.45
200211,-0.27
200212,-0.36
200301,-0.36
200302,-0.54
200303,-0.39
200304,-0.70
200305,-0.73
200306,-0.66
200307,-0.86
200308,-0.94
200309,-0.80
200310,-0.73
200311,-0.65
200312,-0.82
200401,-0.65
200402,-0.52
200403,-0.59
200404,-0.46
200405,-0.46
200406,-0.39
200407,-0.13
200408,0.01
200409,-0.03
200410,-0.03
200411,-0.03
200412,-0.04
200501,0.05
200502,0.00
200503,-0.02
200504,0.03
200505,0.04
200506,0.03
200507,-0.17
200508,-0.14
200509,-0.08
200510,-0.05
200511,-0.01
200512,0.06
200601,-0.01
200602,-0.09
200603,-0.12
200604,-0.17
200605,-0.03
200606,0.03
200607,0.12
200608,0.13
200609,0.15
200610,0.15
200611,0.22
200612,0.22
200701,0.28
200702,0.48
200703,0.55
200704,0.60
200705,0.33
200706,0.35
200707,0.26
200708,0.18
200709,0.13
200710,0.13
200711,0.12
200712,0.09
200801,0.22
200802,0.27
200803,0.20
200804,0.10
200805,0.05
200806,0.04
200807,0.02
200808,0.05
200809,-0.21
200810,-0.20
200811,-0.56
200812,-0.46
200901,-0.46
200902,-0.66
200903,-0.66
200904,-0.82
200905,-0.73
200906,-0.72
200907,-0.53
200908,-0.57
200909,-0.64
200910,-0.81
200911,-0.90
200912,-0.84
201001,-0.82
201002,-0.75
201003,-0.75
201004,-0.54
201005,-0.52
201006,-0.28
201007,-0.29
201008,-0.20
201009,-0.20
201010,-0.32
201011,-0.37
201012,-0.36
201101,-0.35
201102,-0.29
201103,-0.24
201104,-0.25
201105,-0.11
201106,-0.19
201107,-0.21
201108,-0.22
201109,-0.15
201110,-0.16
201111,-0.30
201112,-0.33
201201,-0.39
201202,-0.32
201203,-0.33
201204,-0.32
201205,-0.30
201206,-0.43
201207,-0.30
201208,-0.31
201209,-0.30
201210,-0.24
201211,-0.36
201212,-0.42
201301,-0.31
201302,-0.18
201303,-0.12
201304,-0.22
201305,-0.17
201306,-0.10
201307,-0.20
201308,-0.11
201309,-0.08
201310,-0.13
201311,-0.18
201312,-0.07
201401,-0.26
201402,-0.22
201403,-0.22
201404,-0.24
201405,-0.18
201406,-0.14
201407,0.00
201408,-0.04
201409,0.02
201410,-0.08
201411,-0.02
201412,0.03
201501,0.16
201502,0.21
201503,0.16
201504,-0.03
201505,-0.01
201506,0.04
201507,-0.13
201508,-0.14
201509,-0.24
201510,-0.30
201511,-0.38
201512,-0.35
201601,-0.42
201602,-0.41
201603,-0.37
201604,-0.37
201605,-0.34
201606,-0.28
201607,-0.20
201608,-0.20
201609,-0.30
201610,-0.29
201611,-0.23
201612,-0.25
201701,-0.32
201702,-0.29
201703,-0.25
201704,-0.33
201705,-0.25
201706,-0.34
201707,-0.36
201708,-0.40
201709,-0.22
201710,-0.19
201711,-0.20
201712,-0.19
201801,-0.11
201802,-0.05
201803,-0.01
201804,-0.28
201805,-0.30
201806,-0.30
201807,-0.24
201808,-0.24
201809,-0.29
201810,-0.32
201811,-0.36
201812,-0.41
