Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2146000000,2558000000,2153000000,2900700000,1849440000,2124780000,2703530000,2731110000,1912330000,1360190000,1534950000,1232340000,1486900000,1467000000,1601480000,1850000000,2521628651,2874800000,2393200000,2965300000,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.26E+11,1.86E+11,1.27E+11,2.35E+11,3.30E+11,4.75E+11,7.10E+11,1.37E+12,5.92E+11,1.34E+12,1.55E+12,1.23E+12,1.23E+12,1.02E+12,8.44E+11,4.91E+11,7.59E+11,9.55E+11,9.17E+11,1.19E+12,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326900000,515100000,491620000,765740000,1135000000,1753490000,2036020000,1706530000,1837300000,,,,,,,,,2186550000,4567520000,,,,,3096500000,3350900000,3541580000,3398000000,
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228600000,265300000,397580000,328380000,613190000,723960000,1051980000,977610000,,,,,,,,,,,,,,,,,,,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,,,,,,,,,,,,,,,,,,1.74E+11,1.80E+11,2.39E+11,2.86E+11,,2.07E+11,2.58E+11,2.47E+11,2.93E+11,3.37E+11,4.06E+11,4.47E+11,5.43E+11,4.59E+11,5.09E+11,4.58E+11,5.96E+11,5.76E+11,6.72E+11,8.80E+11,1.01E+12,1.08E+12,1.45E+12,7.71E+11,6.15E+11,8.89E+11,9.10E+11,1.18E+12,1.48E+12,1.70E+12,2.19E+12,1.03E+12,1.68E+12,2.17E+12,1.91E+12,2.06E+12,2.11E+12,2.10E+12,1.59E+12,1.99E+12,2.37E+12,1.94E+12,,
Central Europe and the Baltics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15902090000,26818810000,30419990000,37956660000,46398740000,47798880000,42484340000,69450720000,88903730000,1.63E+11,2.06E+11,3.21E+11,4.85E+11,2.19E+11,2.47E+11,2.79E+11,2.14E+11,,,,,,,,2.41E+11,
Switzerland,,,,,,,,,,,,,,,,16469560000,20899900000,29858100000,38052230000,43569560000,42730940000,38347160000,38745600000,44081170000,40077370000,84104980000,1.29E+11,1.30E+11,1.40E+11,1.71E+11,1.58E+11,1.90E+11,1.94E+11,2.71E+11,2.85E+11,3.98E+11,4.00E+11,5.75E+11,6.89E+11,6.78E+11,7.92E+11,5.27E+11,6.13E+11,7.27E+11,8.29E+11,9.39E+11,1.21E+12,1.27E+12,8.80E+11,1.06E+12,1.23E+12,1.09E+12,1.23E+12,1.54E+12,1.50E+12,1.52E+12,1.40E+12,1.69E+12,1.44E+12,1.83E+12,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159150000,247360000,255080000,454100000,265840000,227350000,184300000,537340000,1479740000,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28138400000,32256800000,44833400000,68050350000,72927720000,65971300000,72046180000,51866170000,68227520000,60400770000,56309720000,49827000000,86525910000,1.17E+11,1.36E+11,1.74E+11,2.13E+11,1.32E+11,2.31E+11,3.42E+11,2.70E+11,3.13E+11,2.65E+11,2.33E+11,1.90E+11,2.12E+11,2.95E+11,2.51E+11,2.04E+11,
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.13E+11,4.48E+11,4.02E+11,1.15E+12,4.48E+12,1.78E+12,3.57E+12,4.03E+12,3.41E+12,3.70E+12,3.95E+12,6.00E+12,8.19E+12,7.32E+12,8.71E+12,6.32E+12,8.52E+12,
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50500810000,56204320000,1.02E+11,87716200000,1.41E+11,2.09E+11,2.01E+11,2.62E+11,2.03E+11,1.47E+11,85955450000,1.04E+11,1.21E+11,1.04E+11,1.32E+11,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357000000,,616860000,782610000,822490000,1308290000,2308350000,,,,520490000,1558300000,1510240000,1879810000,2181820000,1905330000,1468480000,1444920000,1498420000,,,,,2921600000,3010800000,,2217350000,
Caribbean small states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169940000,166120000,58000000,220160000,189090000,138990000,2752110000,2476990000,1810120000,158000000,165000000,159000000,169000000,238000000,2275900000,2006310000,,,315630000,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16158020000,17251300000,7987930000,10268870000,6834300000,2853320000,1995750000,2104730000,4031000000,2692400000,2511333006,2822392823,3313490000,4284870000,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1740800000,6084100000,9185670000,14248100000,10817110000,10430790000,10582930000,9746160000,8150100000,10256370000,15507730000,26891360000,34886410000,44372130000,68913190000,40912350000,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,,51400310000,53399790000,65101130000,83691660000,79399940000,71715670000,62583380000,68953080000,82869520000,78368170000,1.78E+11,2.58E+11,2.18E+11,2.51E+11,3.65E+11,3.55E+11,3.71E+11,3.29E+11,4.42E+11,4.99E+11,5.77E+11,6.65E+11,8.25E+11,1.09E+12,1.43E+12,1.27E+12,1.07E+12,6.86E+11,1.08E+12,1.19E+12,1.20E+12,1.64E+12,2.11E+12,1.11E+12,1.29E+12,1.43E+12,1.18E+12,1.49E+12,1.94E+12,1.74E+12,1.72E+12,1.72E+12,2.26E+12,1.76E+12,2.10E+12,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
